nomineerata
alottaat
aukasta
ei+V+Neg
erkkanttuut
evakyeerata
hajottaat
harjanttuut
harjotella
harjottaat
haukotella
häikästä
ilmottaat
jannottaat
jatkaat
julkaista
jyristä
jäättäät
kaluta
kankistuut
karhiita
katkasta
kiljasta
kirjottaat
kiskasta
kokkonttuut
krillata
kuurrota
kyynnätä
kyytitä
kävästä
lahjottaat
lahtuut
lakasta
laukasta
lissänttyyt
lohkasta
loukkanttuut
mahtaat
mahtuut
muijeta
muijoila
nielasta
nuoreta
oikasta
olla+V
pahotella
perruunttuut
piinanttuut
pillanttuut
pimmenttäät
praatita
puhjeta
rajottaat
rangastaat
raottaat
rauhottaat
rauhottuut
rauđottaat
sekkaanttuut
sekkanttuut
sekottaat
sullattaat
suunnitella
suureta
tarkottaat
tarvita+V+Ind+Prs+Sg1
tarvita+V+Ind+Prs+Sg2
terottaat
ulelttuut
unhettaat
äärryttäät
äärttyyt
kaalaskella
hajeskella
kuljeskella
lujeskella
kuunneleskella
haiseskella
lakiskella
ratkiskella
halvoskella
lađoskella
kiikuskella
tuiskuskella
nukuskella
riuđuskella
vajelella
juoskenella
komenella
vahvenella
rukatella
otatella
juđatella
vaihetella
longotella
ođotella
marjastella
halkaistella
puhđistella
puđistella
ennustella
herrustella
asustella
tieđustella
herskutella
kuossutella
lohđutella
kiiluilla
kuulla
peseskellä
jyrsiskellä
eläskellä
leväskellä
kevenellä
selitellä
silitellä
hyyristellä
väärytellä
leppyytellä
leppäätellä
kylväillä
