"FeatureClass	FeatureCode	Navn	Merknad	BokmÌ´l	Nynorsk	Kvensk	Finsk	Engelsk";
"H	CNLSB	underground irrigation canal(s)	a gently inclined underground tunnel bringing water for irrigation from aquifers	underjordisk vanningskanal	underjordisk vatningskanal	maanalanen kastelukanaali	maanalainen kastelukanava	underground irrigation canal";
"H	CNLX	section of canal		del av kanal	del av kanal	kanaalin osa	kanavan osa	section of canal";
"H	COVE	cove(s)	a small coastal indentation, smaller than a bay	kil	kil	vuoppii	NULL	cove";
"H	CRKT	tidal creek(s)	a meandering channel in a coastal wetland subject to bi-directional tidal currents	tidevannselv	tidevasselv	ullivesijoki	vuorovesipuro	tidal creek";
"H	CRNT	current	a horizontal flow of water in a given direction with uniform velocity	strÌüm	straum	virta	virta	current";
"H	CUTF	cutoff	a channel formed as a result of a stream cutting through a meander neck	elvelÌüp	elvelaup	runka		river cutoff";
"H	DCK	dock(s)	a waterway between two piers, or cut into the land for the berthing of ships	dokk	dokk	telakka	maihinnousu/telakointi	dock";
"H	DCKB	docking basin	a part of a harbor where ships dock	havnebasseng	hamnebasseng	hamina-allas	telakka	docking basin";
"H	DOMG	icecap dome	a comparatively elevated area on an icecap	iskuppel	iskuppel	jÌ_Ì_laki	jÌ_Ì_vuoren huippu	icecap dome";
"H	DPRG	icecap depression	a comparatively depressed area on an icecap	fordypning i iskappen	fordjupning i iskappa	jÌ_Ì_tikÌ¦n kuoppa	jÌ_Ì_vuoren painuma	icecap depression";
"H	DTCH	ditch	a small artificial watercourse dug for draining or irrigating the land	grÌüft	grÌüft	kravi	oja	ditch";
"H	DTCHD	drainage ditch	a ditch which serves to drain the land	dreneringsgrÌüft	dreneringsgrÌüft	dreneerinkikravi	avo-oja/putki-oja	drainage ditch";
"H	DTCHI	irrigation ditch	a ditch which serves to distribute irrigation water	vanningsgrÌüft	vatningsgrÌüft	kastelukravi	vesioja	irrigation ditch";
"H	DTCHM	ditch mouth(s)	an area where a drainage ditch enters a lagoon, lake or bay	grÌüfteutlÌüp	grÌüfteutlaup	kravinsuu	joen alajuoksu	ditch mouth";
