"FeatureClass	FeatureCode	Navn	Merknad	BokmÌ´l	Nynorsk	Kvensk	Finsk	Engelsk";
"H	STMI	intermittent stream		tilbakevendende bekk	tilbakevendande bekk	pallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava ojapallaava oja	vÌ_liaikainen joki	intermittent stream";
"H	STMIX	section of intermittent stream		del av tilbakevendende bekk	del av tilbakevendande bekk	osa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojastaosa pallaavasta ojasta	vÌ_liaikainen joenhaara	section of intermittent stream";
"H	STMM	stream mouth(s)	a place where a stream discharges into a lagoon, lake, or the sea	bekkeutlÌüp	bekkeutlaup	ojansuu	joen suu	stream mouth";
"H	STMQ	abandoned watercourse	a former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns	inntÌürket elveleie	inntÌürka elvefar	kuiva jovenuoma	hylÌ_tty joenhaara	abandoned watercourse";
"H	STMS	streams	bodies of running water moving to a lower level in a channel on land	bekker	bekkar	ojat	virrat	streams";
"H	STMSB	lost river	a surface stream that disappears into an underground channel, or dries up in an arid area	elv uten utlÌüp	elv utan utlaup	suuton joki	joki, joka ei laske jÌ_rveen tai mereen	lost river";
"H	STMX	section of stream		del av bekk	del av bekk	ojan osa	virran osa	section of stream";
"H	STRT	strait	a relatively narrow waterway, usually narrower and less extensive than a sound, connecting two larger bodies of water	sund	sund	salmi	salmi	strait";
"H	SWMP	swamp	a wetland dominated by tree vegetation	sump	sump	rÌ_mmee	suo	swamp";
"H	SYSI	irrigation system	a network of ditches and one or more of the following elements: water supply, reservoir, canal, pump, well, drain, etc.	vanningssystem	vatningssystem	kastelusysteemi	kastelujÌ_rjestelmÌ_	irrigation system";
"H	TNLC	canal tunnel	a tunnel through which a canal passes	kanaltunnel	kanaltunnel	kanaalitunneli	kanavatunneli	canal tunnel";
"H	WAD	wadi	a valley or ravine, bounded by relatively steep banks, which in the rainy season becomes a watercourse";" found primarily in North Africa and the Middle East	wadi	wadi	wadi	wadi/vadi	wadi"
"H	WADB	wadi bend	a conspicuously curved or bent segment of a wadi	wadi-sving	wadi-sving	wadin mukka	wadi/vadi	wadi bend";
"H	WADJ	wadi junction	a place where two or more wadies join	wadi-sammenlÌüp	wadi-samanlaup	waddiin kohtaamapaikka	wadien yhtymÌ_kohta	wadi junction";
"H	WADM	wadi mouth	the lower terminus of a wadi where it widens into an adjoining floodplain, depression, or waterbody	wadi-utlÌüp	wadi-utlaup	wadin suu	wadin suusto	wadi mouth";
"H	WADS	wadies	valleys or ravines, bounded by relatively steep banks, which in the rainy season become watercourses";" found primarily in North Africa and the Middle East	wadier	wadiar	wadit	wadit/vadit	wadies"
"H	WADX	section of wadi		del av wadi	del av wadi	wadin osa	wadin osa/vadin osa	section of wadi";
"H	WHRL	whirlpool	a turbulent, rotating movement of water in a stream	strÌümvirvel	straumkvervel	kostet	pyÌ¦rre	whirlpool";
"H	WLL	well	a cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface	brÌünn	brunn	kaivo	kaivosalue	well";
"H	WLLQ	abandoned well		nedlagtt brÌünn	nedlagt brunn	hyljÌ_tty kaivo	hylÌ_tty kaivos	abandoned well";
"H	WLLS	wells	cylindrical holes, pits, or tunnels drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface	brÌünner	brunnar	kaivot	kaivot	wells";
"H	WTLD	wetland	an area subject to inundation, usually characterized by bog, marsh, or swamp vegetation	vÌ´tmark	vÌ´tmark	mÌ_rkÌ_maa	suoalue	wetland";
"H	WTLDI	intermittent wetland		tilbakevendende vÌ´tmark	tilbakevendande vÌ´tmark	pallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maapallaava mÌ_rkÌ_maa	vÌ_liaikainen suoalue	intermittent wetland";
"H	WTRC	watercourse	a natural, well-defined channel produced by flowing water, or an artificial channel designed to carry flowing water	vannlÌüp	vasslaup	vesivÌ_ylÌ_	vesivirta	watercourse";
"H	WTRH	waterhole(s)	a natural hole, hollow, or small depression that contains water, used by man and animals, especially in arid areas	vannhull	vasshol	kalttii	vesilÌ_hde	waterhole";
"L	AGRC	agricultural colony	a tract of land set aside for agricultural settlement	landbrukskoloni	landbrukskoloni	maanpruukiala	maanviljelyalue	agricultural colony";
"L	AMUS	amusement park	Amusement Park are theme parks, adventure parks offering entertainment, similar to funfairs but with a fix location	fornÌüyelsespark	fornÌüyingspark	huvitusparkki		amusement park";
"L	AREA	area	a tract of land without homogeneous character or boundaries	omrÌ´de	omrÌ´de	ala	alue	area";
"L	BSND	drainage basin	an area drained by a stream	dreneringsbasseng	dreneringsbasseng	dreneerinkiallas	ojitusallas	drainage basin";
"L	BSNP	petroleum basin	an area underlain by an oil-rich structural basin	petroleumsbasseng	petroleumsbasseng	petroleumiallas	paloÌ¦ljyallas	petroleum basin";
"L	BTL	battlefield	a site of a land battle of historical importance	slagmark	slagmark	taistelukenttÌ_	taistelukenttÌ_	battlefield";
"L	CLG	clearing	an area in a forest with trees removed	lysning	lysning	mettÌ_aukkee	avohakkuu	clearing";
"L	CMN	common	a park or pasture for community use	allmenning	allmenning	almunki	yhteinen alue	common";
"L	CNS	concession area	a lease of land by a government for economic development, e.g., mining, forestry	konsesjonsomrÌ´de	konsesjonsomrÌ´de	konseÁuuniala	toimilupa-alue	concession area";
"L	COLF	coalfield	a region in which coal deposits of possible economic value occur	kullfelt	kolfelt	hiilikenttÌ_	hiilikenttÌ_	coalfield";
"L	CONT	continent	continent : Europe, Africa, Oceania, North America, South America, Oceania,Antarctica	kontinent	kontinent	kontinentti	manner	continent";
"L	CST	coast	a zone of variable width straddling the shoreline	kyst	kyst	rannikko	rannikko	coast";
"L	CTRB	business center	a place where a number of businesses are located	forretningssenter	forretningssenter	kauppasentteri	yrityskeskus	business center";
"L	DEVH	housing development	a tract of land on which many houses of similar design are built according to a development plan	boligomrÌ´de	bustadomrÌ´de	asuma-ala	asuntoalue	housing development";
"L	FLD	field(s)	an open as opposed to wooded area	Ì´ker	Ì´ker	pelto	pelto	field";
"L	FLDI	irrigated field(s)	a tract of level or terraced land which is irrigated	overrislet Ì´ker	overrisla Ì´ker	kastelut pellot	keinokastellut pellot	irrigated field";
"L	GASF	gasfield	an area containing a subterranean store of natural gas of economic value	gassfelt	gassfelt	gassikenttÌ_	kaasukenttÌ_	gasfield";
"L	GRAZ	grazing area	an area of grasses and shrubs used for grazing	beiteomrÌ´de	beiteomrÌ´de	laitumet	laidunmaa	grazing area";
"L	GVL	gravel area	an area covered with gravel	grusomrÌ´de	grusomrÌ´de	kariala	soraalue	gravel area";
"L	INDS	industrial area	an area characterized by industrial activity	industriomrÌ´de	industriomrÌ´de	industri-ala	teollisuusalue	industrial area";
"L	LAND	arctic land	a tract of land in the Arctic	arktisk landskap	arktisk landskap	arktinen maa	arktinen maaperÌ_	arctic land";
"L	LCTY	locality	a minor area or place of unspecified or mixed character and indefinite boundaries	lite sted	liten stad	ala	alue	locality";
"L	MILB	military base	a place used by an army or other armed service for storing arms and supplies, and for accommodating and training troops, a base from which operations can be initiated	militÌ_rbase	militÌ_rbase	militÌ_Ì_ribaasi	sotilastukikohta	military base";
"L	MNA	mining area	an area of mine sites where minerals and ores are extracted	gruveomrÌ´de	gruveomrÌ´de	kruuva-ala	kaivosalue	mining area";
"L	MVA	maneuver area	a tract of land where military field exercises are carried out	militÌ_rt treningsomrÌ´de	militÌ_rt treningsomrÌ´de	militÌ_Ì_rin harjottelu-ala	armeijan/sotilaiden harjoitteluvyÌ¦hyke	maneuver area";
"L	NVB	naval base	an area used to store supplies, provide barracks for troops and naval personnel, a port for naval vessels, and from which operations are initiated	marinebase	marinebase	mariinibaasi	laivastotukikohta	naval base";
"L	OAS	oasis(-es)	an area in a desert made productive by the availability of water	oase	oase	oasi	keidas	oasis";
"L	OILF	oilfield	an area containing a subterranean store of petroleum of economic value	oljefelt	oljefelt	Ì¦ljykenttÌ_	Ì¦ljykenttÌ_	oilfield";
"L	PEAT	peat cutting area	an area where peat is harvested	torvskjÌ_ringsomrÌ´de	torvskjeringsomrÌ´de	turvetala	turvealue	peat cutting area";
"L	PRK	park	an area, often of forested land, maintained as a place of beauty, or for recreation	park	park	parkki	puisto	park";
"L	PRT	port	a place provided with terminal and transfer facilities for loading and discharging waterborne cargo or passengers, usually located in a harbor	havn	hamn	hamina	satama	port";
"L	QCKS	quicksand	an area where loose sand with water moving through it may become unstable when heavy objects are placed at the surface, causing them to sink	kvikksand	kvikksand	uppohieta	lentohiekka	quicksand";
"L	REP	republic		republikk	republikk	republikki	tasavalta	republic";
"L	RES	reserve	a tract of public land reserved for future use or restricted as to use	regulert omrÌ´de	regulert omrÌ´de	reguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu alareguleerattu ala	varattu alue	reserve";
"L	RESA	agricultural reserve	a tract of land reserved for agricultural reclamation and/or development	omrÌ´de regulert til landbruk	omrÌ´de regulert til landbruk	reguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii vartenreguleerattu maanpruukkii varten	maataloutta varten varattu alue	agricultural reserve";
"L	RESF	forest reserve	a forested area set aside for preservation or controlled use	vernet skog	verna skog	suojeltu mettÌ_	suojeltu metsÌ_	forest reserve";
"L	RESH	hunting reserve	a tract of land used primarily for hunting	jaktomrÌ´de	jaktomrÌ´de	pyytÌ¦ala	metsÌ_stysalue	hunting reserve";
"L	RESN	nature reserve	an area reserved for the maintenance of a natural habitat	naturreservat	naturreservat	luontoreservaatti	luonnonsuojelualue	nature reserve";
"L	RESP	palm tree reserve	an area of palm trees where use is controlled	palmereservat	palmereservat	palmureservaatti	suojeltu palmupuualue	palm tree reserve";
"L	RESV	reservation	a tract of land set aside for aboriginal, tribal, or native populations	reservat	reservat	reservaatti	reservaatti	reservation";
"L	RESW	wildlife reserve	a tract of public land reserved for the preservation of wildlife	viltreservat	viltreservat	villiellÌ_imiitten reservaatti	luonnonsuojelualue/kansallispuisto	wildlife reserve";
"L	RGN	region	an area distinguished by one or more observable physical or cultural characteristics	region	region	ala	alue	region";
"L	RGNE	economic region	a region of a country established for economic development or for statistical purposes	Ìükonomisk region	Ìükonomisk region	tallousala	talousalue	economic region";
"L	RGNL	lake region	a tract of land distinguished by numerous lakes	innsjÌüomrÌ´de	innsjÌüomrÌ´de	jÌ_rviala	jÌ_rvialue	lake region";
"L	RNGA	artillery range	a tract of land used for artillery firing practice	militÌ_rt skytefelt	militÌ_rt skytefelt	militÌ_Ì_rin ampumakenttÌ_	armeijan/sotilaiden ampumaalue	artillery range";
"L	SALT	salt area	a shallow basin or flat where salt accumulates after periodic inundation	saltomrÌ´de	saltomrÌ´de	suola-ala	suola-alue	salt area";
"L	SNOW	snowfield	an area of permanent snow and ice forming the accumulation area of a glacier	snÌüdekt omrÌ´de	snÌüdekt omrÌ´de	lumipeittoinen ala	lumipeitteinen alue	snowfield";
"L	TRB	tribal area	a tract of land used by nomadic or other tribes	stammeomrÌ´de	stammeomrÌ´de	heimoin ala	heimoalue	tribal area";
"L	ZZZZZ	master source holdings list		master-liste for kildesamling	master-liste for kjeldesamling	lÌ_hetiettoin pÌ_Ì_lista	lÌ_hdetietojen pÌ_Ì_lista	master source holdings list";
"P	PPL	populated place	a city, town, village, or other agglomeration of buildings where people live and work	befolket sted	folkesett stad	asutettu paikka	asuttu paikka/kaupunki	populated place";
"P	PPLA	seat of a first-order administrative division	seat of a first-order administrative division (PPLC takes precedence over PPLA)	regionshovedstad	regionshovudstad	hallintoalan pÌ_Ì_kaupunki	NULL	regional capital";
"P	PPLC	capital of a political entity		Hovedstad	Hovudstad	PÌ_Ì_kaupunki	PÌ_Ì_kaupunki	capital";
"P	PPLG	seat of government of a political entity		regjeringssete	regjeringssete	hallituspaikka	poliittisen yksikÌ¦n hallitusmuoto	seat of government";
"P	PPLL	populated locality	an area similar to a locality but with a small group of dwellings or other buildings	lite sted	liten stad	asutettu ala	asutettu alue	populated locality";
"P	PPLQ	abandoned populated place		avfolket sted	avfolka stad	auttii paikka	hylÌ_tty paikka/kaupunki	abandoned populated place";
"P	PPLR	religious populated place	a populated place whose population is largely engaged in religious occupations	religiÌüst befolket sted	religiÌüst folkesett stad	uskonollisesti asutetut paikat	uskonnollinen ja asuttu paikka/kaupunki	religious populated place";
"P	PPLS	populated places	cities, towns, villages, or other agglomerations of buildings where people live and work	befolkede steder	folkesette stader	asutetut paikat	asutut kaupungit	populated places";
"P	PPLW	destroyed populated place	a village, town or city destroyed by a natural disaster, or by war	Ìüdelagt befolket sted	Ìüydelagd folkesett stad	hÌ_vitetty asutettu paikka	tuhotut asutut paikat/kaupungit	destroyed populated place";
"P	PPLX	section of populated place		del av befolket sted	del av folkesett stad	osa asutetusta paikasta	osa asutusta paikasta/kaupungista	section of populated place";
"P	STLMT	israeli settlement		israelsk bosetning	israelsk busetnad	israelilainen asuma-ala	israelilaisten asuinalue	israeli settlement";
"P	XCITYL	Large city (more than 500 000  inhabitants)	Eigen yr-kategori (ikkje frÌ´ Geonames)	by	by	kaupunki		city";
"P	XCITYM	Medium size city (30 000  to 499 999 inhabitants)	Eigen yr-kategori	by	by	kaupunki		city";
"P	XCITYS	Small city (10 000 to 29 999 inhabitants)	Eigen yr-kategori	by	by	kaupunki		town";
"R	CSWY	causeway	a raised roadway across wet ground or shallow water	veifylling	vegfylling	porrastie	korotettu tieosuus	causeway";
"R	CSWYQ	former causeway	a causeway no longer used for transportation	tidligere veifylling	tidlegare vegfylling	entinen porrastie	entinen korotettu tieosuus	former causeway";
"R	OILP	oil pipeline	a pipeline used for transporting oil	oljeledning	oljeleidning	Ì¦ljyputki	Ì¦ljyjohto	oil pipeline";
"R	PRMN	promenade	a place for public walking, usually along a beach front	promenade	promenade	promenaadi	rantakatu, kÌ_velykatu	promenade";
"R	PTGE	portage	a place where boats, goods, etc., are carried overland between navigable waters	eid	eid	muotka	vÌ_ylÌ_	portage";
"R	RD	road	an open way with improved surface for transportation of animals, people and vehicles	vei	veg	tie	tie	road";
"R	RDA	ancient road	the remains of a road used by ancient cultures	gammel vei	gamal veg	vanhaa tie	vanha tie	ancient road";
"R	RDB	road bend	a conspicuously curved or bent section of a road	veikurve	vegkurve	tienmukka	mutka	road bend";
"R	RDCUT	road cut	an excavation cut through a hill or ridge for a road	veiskjÌ_ring	vegskjering	tienhaara	tiehaara	road cut";
"R	RDJCT	road junction	a place where two or more roads join	veikryss	vegkryss	tienristi	tienristeys	road junction";
"R	RJCT	railroad junction	a place where two or more railroad tracks join	jernbanekryss	jarnbanekryss	rautatienristi	NULL	railroad junction";
"R	RR	railroad	a permanent twin steel-rail track on which freight and passenger cars move long distances	jernbane	jarnbane	rautatie	rautatie	railroad";
"R	RRQ	abandoned railroad		nedlagt jernbane	nedlagd jarnbane	hyljÌ_tty rautatie	hylÌ_tty rautatie	abandoned railroad";
"R	RTE	caravan route	the route taken by caravans	karavanerute	karavanerute	karavaanitie	karavaanitie	caravan route";
"R	RYD	railroad yard	a system of tracks used for the making up of trains, and switching and storing freight cars	jernbaneomrÌ´de	jarnbaneomrÌ´de	rautatieala	rautatiealue	railroad yard";
"R	ST	street	a paved urban thoroughfare	gate	gate	katu	katu	street";
"R	STKR	stock route	a route taken by livestock herds	rute for krÌütterdrift	rute for krÌütterdrift	karjatie	NULL	stock route";
"R	TNL	tunnel	a subterranean passageway for transportation	tunnel	tunnel	tunneli	tunneli	tunnel";
"R	TNLN	natural tunnel	a cave that is open at both ends	naturlig tunnel	naturleg tunnel	luonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneliluonon tunneli	luonnon tunneli	natural tunnel";
"R	TNLRD	road tunnel	a tunnel through which a road passes	veitunnel	vegtunnel	tietunneli	tietunneli	road tunnel";
"R	TNLRR	railroad tunnel	a tunnel through which a railroad passes	jernbanetunnel	jarnbanetunnel	rautatietunneli	rautatietunneli	railroad tunnel";
"R	TNLS	tunnels	subterranean passageways for transportation	tunneler	tunnelar	tunnelit	tunnelit	tunnels";
"R	TRL	trail	a path, track, or route used by pedestrians, animals, or off-road vehicles	sti	sti	polku	rata	trail";
"S	ADMF	administrative facility	a government building	administrasjonsanlegg	administrasjonsanlegg	administraÁuunirakenus	hallintorakennus	administrative facility";
"S	AGRF	agricultural facility	a building and/or tract of land used for improving agriculture	jordbruksanlegg	jordbruksanlegg	maanpruukirakenus	maalalousrakennus/maataous	agricultural facility";
"S	AIRB	airbase	an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated	flybase	flybase	flyyibaasi	lentotukikohta	airbase";
"S	AIRF	airfield	a place on land where aircraft land and take off";" no facilities provided for the commercial handling of passengers and cargo	flyplass	flyplass	flyyikenttÌ_	lentokenttÌ_	airfield"
"S	AIRH	heliport	a place where helicopters land and take off	heliport	heliport	heliportti	helikopterikenttÌ_	heliport";
"S	AIRP	airport	a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo	lufthavn	lufthamn	flyyikenttÌ_	lentokenttÌ_	airport";
"S	AIRQ	abandoned airfield		nedlagt lufthavn	nedlagt lufthamn	auttii flyyikenttÌ_	hylÌ_tty lentokenttÌ_	abandoned airfield";
"S	AMTH	amphitheater	an oval or circular structure with rising tiers of seats about a stage or open space	amfiteater	amfiteater	amfiteatteri	amfiteatteri	amphitheater";
"S	ANS	ancient site	a place where archeological remains, old structures, or cultural artifacts are located	historisk sted	historisk stad	histoorialinen paikka	historiallinen paikka	ancient site";
"S	ARCH	arch	a natural or man-made structure in the form of an arch	bue	boge	kaari	kaarimainen/kaareva/kaari	arch";
"S	ASTR	astronomical station	a point on the earth whose position has been determined by observations of celestial bodies	astronomisk stasjon	astronomisk stasjon	astronominen staÁuuni	astronominen/tÌ_htitieteellinen asema	astronomical station";
"S	ASYL	asylum	a facility where the insane are cared for and protected	asyl	asyl	asyyli	turvapaikka/asyyli	asylum";
"S	ATHF	athletic field	a tract of land used for playing team sports, and athletic track and field events	idrettsbane	idrettsbane	sporttikenttÌ_	urheilukenttÌ_	athletic field";
"S	ATM	autmatic teller machine	An unattended electronic machine in a public place, connected to a data system and related equipment and activated by a bank customer to obtain cash withdrawals and other banking services. 	minibank	minibank	minipankko		ATM";
"S	BANK	bank	A business establishment in which money is kept for saving or commercial purposes or is invested, supplied for loans, or exchanged. 	bank	bank	pankko		bank";
"S	BCN	beacon	a fixed artificial navigation mark	signalstasjon	signalstasjon	signaalistaÁuuni	merkkituli/navigaatioasema	beacon";
"S	BDG	bridge	a structure erected across an obstacle such as a stream, road, etc., in order to carry roads, railroads, and pedestrians across	bro	bru	silta	silta	bridge";
"S	BDGQ	ruined bridge	a destroyed or decayed bridge which is no longer functional	Ìüdelagt bro	Ìüydelagd bru	hÌ_vitetty silta	hylÌ_tty silta	ruined bridge";
"S	BLDG	building(s)	a structure built for permanent use, as a house, factory, etc.	bygning	bygning	rakenus	rakennus	building";
"S	BP	boundary marker	a fixture marking a point along a boundary	grensemerke	grensemerke	rajamerkki	rajamerkki/reunaehto	boundary marker";
"S	BRKS	barracks	a building for lodging military personnel	brakker	brakker	brakit	parakki	barracks";
"S	BRKW	breakwater	a structure erected to break the force of waves at the entrance to a harbor or port	bÌülgebryter	bÌülgjebrytar	paaroin murttaaja	aallonmurtaja	breakwater";
"S	BSTN	baling station	a facility for baling agricultural products	ballestasjon	ballestasjon	paalistaÁuuni	paalitusasema/pakkauspaikka	baling station";
"S	BTYD	boatyard	a waterside facility for servicing, repairing, and building small vessels	verft	verft	vÌ_rvi	telakka	boatyard";
"S	BUR	burial cave(s)	a cave used for human burials	gravhule	gravhole	hauta	hauta	burial cave";
"S	BUSTN	Bus Station	a facility comprising ticket office, platforms, etc. for loading and unloading passengers 	busstasjon	busstasjon	bussistaÁuuni		bus station";
"S	BUSTP	Bus Stop	a place lacking station facilities	bussholdeplass	busshaldeplass	bussihollipaikka		bus stop";
"S	CARN	cairn	a heap of stones erected as a landmark or for other purposes	varde	varde	kivirova	kivirÌ¦ykkiÌ¦	cairn";
"S	CAVE	cave(s)	an underground passageway or chamber, or cavity on the side of a cliff	grotte	grotte	holo	luola	cave";
"S	CCL	centre continuous learning	Centres for Continuous Learning	kveldsskole	kveldsskule	iltakoulu		centre continuous learning";
"S	CH	church	a building for public Christian worship	kirke	kyrkje	kirkko	kirkko	church";
"S	CMP	camp(s)	a site occupied by tents, huts, or other shelters for temporary use	leir	leir	leiri	leirintÌ_alue	camp";
"S	CMPL	logging camp	a camp used by loggers	tÌümmerkoie	tÌümmerkoie	hirsikÌ_mppÌ_	mÌ¦kkialue	logging camp";
"S	CMPLA	labor camp	a camp used by migrant or temporary laborers	arbeidsleir	arbeidsleir	tyÌ¦leiri	tyÌ¦leiri	labour camp";
"S	CMPMN	mining camp	a camp used by miners	gruveleir	gruveleir	kruuvaleiri	kaivosleiri	mining camp";
"S	CMPO	oil camp	a camp used by oilfield workers	oljeleir	oljeleir	Ì¦ljyleiri	leirialue Ì¦ljynporaajia varten	oil camp";
"S	CMPQ	abandoned camp		nedlagt leir	nedlagt leir	auttii leiri	hylÌ_tty leiri	abandoned camp";
"S	CMPRF	refugee camp	a camp used by refugees	flyktningleir	flyktningleir	pakolaisten leiri	pakolaisleiri	refugee camp";
"S	CMTY	cemetery	a burial place or ground	gravlund	gravlund	hautuumaa	hautausmaa	cemetery";
"S	COMC	communication center	a facility, including buildings, antennae, towers and electronic equipment for receiving and transmitting information	kommunikasjonssenter	kommunikasjonssenter	kommunikaÁuunisentteri	kommunikaatiokeskus	communication center";
"S	CRRL	corral(s)	a pen or enclosure for confining or capturing animals	innhegning	inngjerding	aita	aitaus/tarha	corral";
"S	CSNO	casino	a building used for entertainment, especially gambling	kasino	kasino	kasino	kasino	casino";
"S	CSTL	castle	a large fortified building or set of buildings	slott	slott	linna	linna	castle";
"S	CSTM	customs house	a building in a port where customs and duties are paid, and where vessels are entered and cleared	tollbod	tollbu	tullirakenus	tullirakennus	customs house";
"S	CTHSE	courthouse	a building in which courts of law are held	rettsbygning	rettsbygning	oikkeusrakenus	oikeustalo/oikeusrakennus	courthouse";
"S	CTRA	atomic center	a facility where atomic research is carried out	atomsenter	atomsenter	atomisentteri	atomikeskus	atomic center";
"S	CTRCM	community center	a facility for community recreation and other activities	samfunnshus	samfunnshus	kokkoontumishuonet		community center";
"S	CTRF	facility center	a place where more than one facility is situated	tjenestesenter	tenestesenter	palvelussentteri	palvelukeskus	facility center";
"S	CTRM	medical center	a complex of health care buildings including two or more of the following: hospital, medical school, clinic, pharmacy, doctor's offices, etc.	legesenter	lÌ_kjarsenter	lÌ_Ì_kÌ_risentteri	terveyskeskus	medical center";
"S	CTRR	religious center	a facility where more than one religious activity is carried out, e.g., retreat, school, monastery, worship	religiÌüst senter	religiÌüst senter	uskonollinen sentteri	uskonnonharjoittamista varten oleva paikka/keskus	religious center";
"S	CTRS	space center	a facility for launching, tracking, or controlling satellites and space vehicles	romsenter	romsenter	avaruussentteri	avaruuskeskus	space center";
"S	CVNT	convent	a building where a community of nuns lives in seclusion	kloster	kloster	klosteri	luostari	convent";
"S	DAM	dam	a barrier constructed across a stream to impound water	demning	demning	pato	pato	dam";
"S	DAMQ	ruined dam	a destroyed or decayed dam which is no longer functional	Ìüdelagt demning	Ìüydelagd demning	hÌ_vitetty pato	hylÌ_tty pato	ruined dam";
"S	DAMSB	sub-surface dam	a dam put down to bedrock in a sand river	demning gravd ned til grunnfjellet	demning gravd ned til grunnfjellet	hau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu patohau€Ôattu pato	haudattu pato	sub-surface dam";
"S	DARY	dairy	a facility for the processing, sale and distribution of milk or milk products	meieri	meieri	meijeri	meijeri	dairy";
