aamu 
aapa 
aapinen 
adressi 
adventti 
ai 
aijankulu 
aika 
aikakartta 
aikaknappi 
aikaleksikoni 
aikamasiini 
aikamatka 
aikamatkakursi 
aikamoinen 
aikasärmi 
aita 
aitta 
ajatus 
aksentti 
alkupuoli 
allehonda 
allekirjoittaat 
altso 
annijokilainen 
aplodeerata 
apoteekki 
appifaari 
aresteerata 
arki 
armas 
armo 
arvela 
arvokas 
arvokkhaampi 
asumapaikka 
astii 
astma 
asumahuonet 
asumakumppani 
asumaloma 
aukaista 
auki 
aukkee 
aukkein 
auttuus 
avvujalkaisin ~ avojalkaisin
bensiini 
besiinipuođi 
bändi 
C-vitamiini 
daattumi 
eđeltä 
eđeltä 
eđesauttaat 
eđespäin 
eđetä 
effektiivinen 
ehđoittaa
eksyät
elka 
elkansarvisuola 
elläimiittenpito 
elläintohtori 
elämäntyö 
enkeli 
ennenvanhasta 
enniimitten 
enniin 
ensi 
ensinä 
entinen 
epäluuloinen 
epäselvä 
erikoinen 
erikoisen 
esile 
esimerkiksi 
esivalta 
etheensä 
faarti 
fati 
fatilinen 
favoritti 
feeriä 
fennomaani 
fiiberi 
fiikus 
fiinimpi 
filee (~ file
fiskata 
fiskuhomma 
flaku 
flasku 
formata 
frakki 
franska 
freistata 
frouva 
fröökynä 
fästi 
geeni 
geenisekoitus 
graadi 
gramma 
haalee 
haikata 
haista 
haju s. 
hakata 
hakemamatka 
hako 
hallitusherra 
hamina 
hantuuki 
hapantaikina 
harja 
havaita 
havattuut 
heh
helatuorestai 
helikopteri 
helpompi 
hengata 
hengestyyt 
hera 
herkku 
hermostuut 
herraton 
hersku 
hiđas 
hiiri 
hiljastuut 
hiljemin 
hilla 
hirmuisesti 
hirveempi 
hithaamin 
hoi
hoppuruoka 
hoviherra 
huh
huiii
huiskuttaat 
hulluin 
hunteeraaminen 
huoliit 
huomenaamula 
huonompi 
hups 
hurja 
huttura
huuli 
hypätä 
hyvin 
hyvämuistoinen 
hyyrätä 
häikäistä 
hämärä 
härkkiit 
härkä 
hätähättää 
häämöttäät 
höristellä 
hyöhen
höyrytä
höystö 
identiteetti 
ihaniin 
ikävä 
ilmalaiva 
ilman 
iloisempi 
iloisesti 
iltapäivä 
ilvettiit 
interesantti 
interesseerata 
internaatti 
intressi 
iskeet 
Isokarhuu 
isompi 
isovanhiimet 
issoin 
itaalia 
itkeet 
itte 
itte kukanen
itte kukin
ittenäinen 
jaha 
jakaminen 
janturi 
jatkata 
jatkokoulu 
jatkuut 
jauhaat 
johđatus 
jokainen
joksiki 
jorva 
jouluskenkki 
joulut 
jouttaava 
juhanes 
jumalanpalvelus 
juoma 
juoppo 
juuri 
juurikaali 
juusto 
juustoainet 
juustolokki 
juustonjuoksuttaaja 
jyristä 
jähtyyt 
jäljelä 
jälkheen 
jälkheen 
jälkhiin 
jälkilämpö 
jälkimäinen 
jälkipolvi 
jänis 
jänkkä 
jännittyyt 
järjestö 
järviahven 
jäsen 
jääri 
kaamos 
kaappi 
kaara 
kaarnet 
kaarnetmehu 
kaarnetpuuro 
kaarttaat 
kaattaat 
kaattuut 
kaffeli 
kaffikattila 
kaffikuppi 
kaffipöytä 
kaffistella 
kahđekses 
kahđen 
kahđenkertainen 
kaikenlainen 
kaikkiin 
kaikkivalttias 
kaiku 
kainalo 
kainulainen 
kainulaislapsi 
kainulaisperet 
kainunkakko 
kainunleipä 
kajastaat 
kajava 
kakko 
kaks 
kaksituhatta-luku
kalakukko 
kalaleipä 
kalanpala 
kaljamaa 
kaljupäinen 
kalossi 
kalu 
kandidaatti 
kaneli 
kangas 
kannattaat 
kansakoulu 
kansakoulunopettaja
kansankulttuuri 
kansi 
kanttaat 
kapusta 
karaffi 
kasa 
kasetti 
kassuuttaat 
kasterooli 
kataja 
katajanmarja 
katedraalikoulu 
Katekismus 
katu 
katunäkö 
kauha 
kauheempi 
kauheen 
kauhistus 
kauko-ohjaaja 
kaulus 
kaunhiimpi 
kaunhiin 
kaunhiisti 
kauppias 
kaura 
kautta 
kauvoimin 
kaveri 
kehto 
keittokirjainen 
keittäminen 
kekkä 
kenkki 
kenttä 
keppi 
keskele 
keski-
keskipaikka 
keskipäivä 
kessäinttyyt 
kestäät 
kesu 
kettu 
kevvee 
kevveesti 
kevveestisuolattu 
kevät 
kiehattaat 
kiehuut 
kielimestari 
kielisota 
kielttäät 
kieruna 
kiilelä 
kiilttäät 
kiitos 
kiittäät 
kiivu 
killata 
kilo 
kilomeetteri 
kippee 
kirjakaappi 
kirjakieli 
kirjoittaaja 
kirjoitus 
kirjoituspöytä 
kirkkhaampi 
kirkkhaasti 
kirkko 
kirkkodepartementti 
kirkkomaa 
kirkkoväki 
kirosana 
kirves 
kiva 
kivikkö 
kivipahta 
Klaarikka 
klapata 
klikata 
klupu 
kohta 
kohti 
koitela 
kokhoonpano 
kokkeet 
kokkoominen 
kokkoonttuut 
kokoinen 
kokonainen 
kollekti 
koleraapis 
kommunisti 
komppanii 
konferansi 
konsti 
konstihöystö 
konttuuri 
kopina 
kopistaat 
korjhuun 
koskeet 
kotikaupunki 
kotipaikka 
kotitalo 
kotonen 
kotonakuottu 
koulu 
koulufröökynä 
koulukläppi 
koulumies 
koulupoika 
kouralinen 
kovasää 
kovempi 
krampuohi 
krannimaa 
kranttu 
kravi 
kreftä 
kroppi 
krouvi 
kruununtie 
kruuti 
kruuvahomma 
kruuvamies 
kuiskata 
kuitti 
kuivaliha 
kuivattaat 
kukanen
kukin
kukkatolppa 
kukko 
kulkutauti 
kulta 
kulttuuri 
kulttuuri-ihminen 
kulttuuriteko 
kulttuurityö 
kuluttaat 
kumarttaat 
kummalisempi 
kummastella 
kummasti 
kummitus 
kumossa 
kunniakirja 
kunnon 
kuolema 
kuolevainen 
kuolihaaksi 
kuorata 
kuori 
kuoriit 
kupla 
kuppi 
kuu 
kuuđes 
kuukausi 
kuukhainen 
kuulo 
kuulostaat 
kuulu 
kuulten
kuuma 
kuumavesileipä 
kuumempi 
kuuro 
kuurota 
kuusi 
kuutama 
kuvata 
kuvvaus 
kveeniliitto s. ‘kvenforbund’ 
kveeniyhđistys 
kyetä 
kyllä 
kylmempi 
kylmettyyt 
kylmetyksissä 
kylrötteri 
kylvöheinä 
kylästellä 
kymmenes 
kymnaasi 
kynttilä 
kypsy 
kypsyyt 
kyytti 
käristys 
kärys 
käveli 
kävelöiđä 
käyskenelllä
käyđen 
käänelä 
käänttäät 
kääriit 
kööki 
köökki 
l.
laađata 
laattii 
laittuut 
lakana 
lammasliemi 
lamphaankieli 
lamphaankuu 
lamphaanliha 
langeta 
lantalainen 
lantto 
lappheelansa 
lapsuus 
lastata 
lastentaras 
lastipiili 
latini 
laulaat 
laulu 
lauta 
lautanen 
lehti 
leikata 
leikkiit 
leipomauuni 
leippoot 
leiriläinen 
leksikoni 
lemmijokilainen 
lensmani 
lentämäkenttä 
leppäkerttu 
leppäämätooli 
lepsu 
lestadiolainen 
lestaatiolainen 
levittäät 
lievä 
liha 
lihankiivu 
lihavelli 
liika 
liikkuut 
liimata 
liina 
liitto 
likele 
likele 
likhoon 
liki 
liki- 
likimäinen 
linkki 
lissää 
lisätä 
litteratuuri 
litteri 
litteratuuri 
litteri 
liuska 
livota 
lohivelli 
lohta 
loistaat 
loppupuoli 
loppurukkous 
lopuksi 
lopulta 
lota 
loukata 
loukko 
lounas 
luja 
lujasti 
lujjiin 
luminen 
lumittaat 
luođa 
luokka 
luonto 
luottaat 
luovata 
lupa 
lusikka 
lykky 
lyöđä 
lähtöisin 
lämpö 
länsi 
läpi 
läpitte 
läski 
lääki 
lääkintaito 
maalainen 
maanalhainen 
mađet 
magnetofooni 
mahđottoman 
maistaat 
maistuut 
makka 
makkein 
maksa 
maksu 
maku 
mansikka 
margariini 
marjapuuro 
matala 
matala 
materiämmi
matkiit 
mavustaat 
mavuton 
melkhein 
melkheinen 
mellastaat 
menneisyys 
meno 
merihukka 
merkitys 
metesiini 
metto 
meänkieli 
meänkielinen 
miehenpuoli 
mieli 
miinus 
mikin
minoriteetti 
mm. 
molemin 
monenlainen 
motori 
muijoila 
muikkee 
muikku 
muisteliija 
muisti 
mukava 
muki 
mukka 
muna 
munhaiskuu 
muotka 
muretuttaat 
murree 
mursunpenikkä 
musikki 
muuđan 
muutamisti 
muutti 
muuvala adv. 
muvvala 
mylly 
myöđen 
myö
myöten 
märkä 
mäti 
mätikakko 
määrätä 
möykky 
naavuonolainen 
nahka 
nam nam 
našunaalieepos 
nationalismi 
nauha 
nauris 
navetta 
neilikka 
netti 
neuvoot 
niittäät 
nisujauho 
nisujauhokasa 
nk. 
no
noiđantemppu 
noita 
noitamuistelus 
nojassa 
nojata 
noppeesti 
noppein 
norjalais-suomalainen 
nostaat 
notkee 
notkeempi 
nukattaat 
nukkuut 
nuorempi 
nuoreta 
nuoriin 
nurkka 
nylkkeet 
näin 
näkymäklasi 
nälkkyyt 
nälkävuosi 
näyttämäpeli 
nöyrä 
ohjata 
ohrankryyni 
ohrajauho 
ohu 
oikaistaat 
oikkeestansa 
ojenttaat 
oksettaat 
olla olemassa
onni 
onnistuut 
oo 
oori 
opas 
opetella 
opinto 
opintospesialiseerinki 
oppikirja 
oppimatka 
oransi 
organisasioni 
orsi 
osoittaat 
ostaat 
ouđosti 
paakarintupa 
paapottaat 
paarit
paaro 
pahas 
pahasti 
paistamapannu 
paistamaton 
paja 
pakkainen 
pakko 
pakoittaat 
palainen 
palelttuut 
palja 
palkinto 
palmusunnuntai 
paloinspekšuuni 
palveluspiika 
pannu 
papinkartano 
parafiinilamppu 
paranttaat 
paremin ~ paremasti
pari 
paska 
paskasuomi 
passata 
passelisti 
pata 
patruuni 
pehmee 
pehmetä 
pehmittäät 
peikkoni 
peittäät 
pellaamavehjet 
pelästyät
pelättäät 
pensas 
pensioneerata 
pensionisti 
perilä 
permisioni 
peränimi 
perässä 
