"Lemma","POS","trans","tPOS","1stamme","2stamme","syntrans","syntransPOS","syntrans2","syntrans2POS","syntrans3","syntrans3POS","syneks","syneks2","syneks3"
"flinttikivi","subst","flintstein","m","flinttikive-","flinttikivve-",,,,,,,,,
"vuoma","subst","myr","f","-","-",,,,,,,,,
"ventovieras","subst","fremmed",,"ventovierhaa-","-",,,,,,,,,
"väki","subst","folk","n","väe-","väkke-","menneskemengde","m",,,,,,,
"raha","subst","penger",,"rahha-",,,,,,,,,,
"lepo","subst","hvil|e","f","levo-","leppo-",,,,,,,,,
"nauta","subst","storfe","n","nauða-","nautta-",,,,,,,,,
"pää","subst","hode","n","-","-","ende","m",,,,,,,
"kryysitaaki","subst","grustak","n","kryysitaakki-",,,,,,,,,,
"kyynelet","subst","tåre","m","kyynelhee-",,,"-",,,,,,,
"peili","subst","speil","n","-","-",,,,,,,,,
"Pyhä Henki","subst","Den Hellige Ånd","m","Pyhän Henge-","Pyhhää Henkke-",,,,,,,,,
"vahti","subst","vakt","f","vahði-","-",,,,,,,,,
"palli","subst","pall","m","-","-",,,,,,,,,
"peukalo","subst","tommel","m","-","-",,,,,,,,,
"vikaatet","subst","ljå","m","vikaathee-","-",,,,,,,,,
"hattu","subst","hatt","m","hatu-","-",,,,,,,,,
"savi","subst","leir","f","save-","savve-",,,,,,,,,
"kruununtie","subst","riksvei","m","-","-",,,,,,,,,
"nimi","subst","navn","n","nime-","nimme-",,,,,,,,,
"lähtemäaika","subst","avgangstid","f","lähtemäaia-","lähtemäaikka-",,,,,,,,,
"suomus","subst","fiskeskjell","n","suomukse-","-",,,,,,,,,
"lehtipuu","subst","lauvtre","n","-","-",,,,,,,,,
"liikapaino","subst","overvekt","f","-","-",,,,,,,,,
"koulu","subst","skole","m","-",,"-",,,,,,,,
"kaakkuri","subst","lom –men",,"-","-",,,,,,,,,
"haisu","subst","lukt","f","-","haissu-",,,,,,,,,
"korppi","subst","ravn","f","korpi-","-",,,,,,,,,
"napuli","subst","pikk","m","-","-",,,,,,,,,
"luonto","subst","natur","m","luonno-","luontto-",,,,,,,,,
"mookari","subst","slegge",,"-","-",,,,,,,"sleka",,
"englantilainen","subst","engelskmann",,"englantilaise-","englantilais-","engelsk",,,,,,"engelskmanni",,
"kulma","subst","vinkel","m","-","-",,,,,,,,,
"sata","subst","hundre",,"saða-","satta-",,,,,,,,,
"lauppeus","subst","barmhjertighet","f","lauppeuðe-","lauppeut-",,,,,,,,,
"ikkuna","subst","møkkhull","n","-","-",,,,,,,,,
"yö","subst","natt","f","-","-",,,,,,,,,
"vispilä","subst","visp","m","-","-",,,,,,,,,
"nauru","subst","latter","m","-","-","smil","n",,,,,,,
"skorsteeni","subst","skorstein","m","-","-",,,,,,,,,
"loppiinen","subst","helligtrekongersdagen",,"loppiise-","loppiis-",,,,,,,,,
"kuolain","subst","beksel","n","kuolaime-","-",,,,,,,,,
"hihtokeli","subst","skiføre","n","hihtokelli-",,,,,,,,,,
"pellaaja","subst","spiller","m","-","-",,,,,,,,,
"aikomus","subst","hensikt","f","aikomukse-","-",,,,,,,,,
"keskikesä","subst","midtsommer","m","-","keskikessä-",,,,,,,,,
"postikortti","subst","postkort","n","postikorti-","-",,,,,,,,,
"pyhäpäivä","subst","helligdag","m","-","-",,,,,,,,,
"jalkatytär","subst","jente født utenfor ekteskap",,"jalkatyttäre-","-",,,,,,,,,
"avioliitto","subst","ekteskap","n","avioliito-","-",,,,,,,,,
"suoli","subst","tarm","m","suole-","suol-",,,,,,,,,
"verka","subst","klede","n","vera-","verkka-",,,,,,,,,
"seka","subst","blanding","f","sea-","sekka-",,,,,,,,,
"keneraali","subst","general","m","-","-",,,,,,,,,
"surma","subst","bane","m","-","-","død","m",,,,,,,
"fiilipunkki","subst","fil?",,"fiilipunki-","-",,,,,,,,,
"vaakkara","subst","yngstebarn","n","-","-",,,,,,,,,
"nisujauho","subst","hvetemel","n","-","-",,,,,,,,,
"konna","subst","rakkerunge","m","-","-",,,,,,,,,
"naaraspontti","subst","?",,"naarasponti-","-",,,,,,,"koiraspontti",,
"yniversiteetti","subst","universitet","n","yniversiteeti-","-",,,,,,,,,
"soitto","subst","ringing","f","soito-","-",,,,,,,,,
"kaffi","subst","kaffe","m","-","-",,,,,,,,,
"turva","subst","trygghet","m","-","-",,,,,,,,,
"luðet","subst","vegglus","f","luthee-","-",,,,,,,,,
"anttaaja","subst","giver","m","-","-",,,,,,,,,
"vuoðenaika","subst","årstid","f","vuoðenaia-","vuoðenaikka-",,,,,,,,,
"isänmaa","subst","fedreland","n","-","-",,,,,,,,,
"kontakti","subst","kontakt","m","-","-",,,,,,,,,
"nojatooli","subst","lenestol","m","-","-",,,,,,,,,
"sierain","subst","nesebor","n","sieraime-","-",,,,,,,,,
"arkku","subst","kist|e","f","arku-","-",,,,,,,,,
"oktooperi","subst","oktober",,"-","-",,,,,,,"oktooperikuu",,
"äyri","subst","øre","m","-","-",,,,,,,,,
"ööli","subst","øl","n","-","-",,,,,,,,,
"militääri","subst","militær","n","-","-",,,,,,,,,
"herra","subst","herre","m","-",,"Herren",,,,,,,,
"penikkä","subst","unge","m","penikä-","-","dyreunge","m",,,,,,,
"teppu","subst","tang","f","tepu-","-",,,,,,,"staara",,
"ulkotyö","subst","utearbeid","n","-","-",,,,,,,,,
"jovenranta","subst","elvebredd","m","jovenranna-","jovenrant-","elvestrand","f",,,,,,,
"maitopiili","subst","melkebil","m","-","-",,,,,,,,,
"kruununhärkä","subst","statsokse","m","kruununhärä-","kruununhärkkä-",,,,,,,,,
"puhðistus","subst","reingjøring","f","puhðistukse-","-",,,,,,,,,
"komunisti","subst","kommunist","m","-","-",,,,,,,,,
"alanen","subst","put|e","f","alase-","alas-",,,,,,,"päänalanen",,
"heinänteko","subst","høyarbeid","n","heinänteo-","heinäntekko-",,,,,,,,,
"oðotus","subst","venting","f","oðotukse-","-",,,,,,,,,
"merikala","subst","sjøfisk","m","-","merikalla-",,,,,,,,,
"kesäpäivä","subst","sommerdag","m","-","-",,,,,,,"suvipäivä",,
"makso","subst","betaling","f","-","-",,,,,,,,,
"lehmävasikka","subst","kukalv","m","lehmävasika-","-",,,,,,,,,
"transformaatturi","subst","transformator","m","-","-",,,,,,,,,
"kaapeli","subst","kabel","m","-","-",,,,,,,,,
"isoäiti","subst","bestemor","f","isoäiti-","isoäitti-",,,,,,,,,
"seulavaiset","subst","sold –en?",,"-","-",,,,,,,,,
"saamelainen","subst","same","m","saamelaise-","saamelais-",,,,,,,,,
"linnunkassa","subst","fuglekass|e","f","-","-",,,,,,,,,
"huominen","subst","morgendag","m","huomise-","huomis-",,,,,,,,,
"leskimies","subst","enkemann","m","leskimiehe-","-",,,,,,,,,
"joulupäivä","subst","juledag","m","-","-",,,,,,,,,
"luppaus","subst","lovnad","m","luppaukse-","-","løfte","n",,,,,,,
"veðenkantamapuu","subst","åk","n","-","-",,,,,,,,,
"syreeni","subst","syren","m","-",,"-",,,,,,,,
"temppeli","subst","temp|el –let",,"-","-",,,,,,,,,
"kosto","subst","hevn","m","-","-",,,,,,,,,
"outa","subst","skog","m","ouða-","outta-",,,,,,,"mettä",,
"nisä","subst","brystvort|e","f","-","nissä-","spene","m",,,,,,,
"hiili","subst","kull","n","hiile-","hiil-",,,,,,,,,
"pörö","subst","tulling","m","-","pörrö-",,,,,,,,,
"pöytä","subst","bord","n","pöyðä-","pöyttä-",,,,,,,,,
"rokastamaonki","subst","klepp","m","rokastamaonge-","rokastamaonkke-",,,,,,,,,
"horma","subst","geitrams","m","-","-",,,,,,,"hormu",,
"kuori","subst","skall","n","kuore-","kuor-","skrell","n",,,,,,,
"poronnahka","subst","reinskinn","n","poronnaha-","-",,,,,,,,,
"pajunetti","subst","pajonett","m","pajuneti-","-",,,,,,,,,
"jälki","subst","spor","n","jälje-","jälkke-","far","n",,,,,,,
"käyläkkö","subst","neverkont","m","käyläkö-","-",,,,,,,,,
"fanki","subst","fange","m","fangi-",,"fankki-",,"innsatt",,,,,,
"kauha","subst","øs|e","f","-","-",,,,,,,,,
"sauna","subst","bad","n","-","-","badstu","f",,,,,,,
"tietyö","subst","veiarbeid","n","-","-",,,,,,,,,
"prukrammi","subst","program","n","-","-",,,,,,,,,
"hermo","subst","nerve","m","-","-",,,,,,,,,
"koppelo","subst","røy","f","-","-",,,,,,,,,
"rippi","subst","nattverd","m","ripi-","-",,,,,,,,,
"niskakala","subst","hannlaks","m","-","niskakalla-",,,,,,,,,
"sysihauta","subst","trekullgrop","f","sysihauða-","sysihautta-",,,,,,,,,
"kasvatussentteri","subst","oppvekstsenter","n","-","-",,,,,,,,,
"pissihaukka","subst","?",,"pissihauka-","-",,,,,,,,,
"villapaita","subst","ullskjort|e","f","villapaiða-","villapaitta-",,,,,,,,,
"lähðet","subst","kilde","m","lähtee-","-",,,,,,,,,
"rehu","subst","fôr","n","-","rehhu-",,,,,,,,,
"ulkomalainen","subst","utenlandsk",,"ulkomalaise-","ulkomais-",,,,,,,,,
"tooki","subst","tog","n","tooki-","tookki-",,,,,,,,,
"pimmeeloma","subst","mørkerom","n","pimmeelomma-",,,,,,,,,,
"ruisleipä","subst","rugbrød","n","ruisleivä-","ruisleippä-",,,,,,,,,
"syöttä","subst","agn","n","syötä-","-","åt|e","f",,,,,,,
"laari","subst","bing|e","f","-","-",,,,,,,"Puutaattilaari",,
"riita","subst","strid","m","riiða-","riitta-",,,,,,,,,
"kielto","subst","avslag","n","kiello-","kieltto-","forbud","n",,,,,,,
"asfaltti","subst","asfalt","m","asfalti-","-",,,,,,,,,
"helma","subst","fald","m","-","-","favn","n",,,,,,,
"kulku","subst","gang","m","kulju-","kulkku-","ferd","m","forløp","n",,,,,
"kiukas","subst","badstuovn","m","kiuakkaa-","-",,,,,,,"kiuas",,
"evakyeeramisaika","subst","evakueringstid","f","evakyeeramisaia-","evakyeeramisaikka-",,,,,,,,,
"hoppee","subst","sølv","n","-","-",,,,,,,,,
"syli","subst","fang","n","-","sylli-","favn","m",,,,,,,
"raajarikko","subst","invalid","m","raajariko-","-","funksjonshemmet",,"handicapet",,,,,,
"alakuu","subst","nemåne",,"-","-",,,,,,,,,
"kananmuna","subst","hønseegg","n","-","kananmunna-",,,,,,,,,
"jokivahti","subst","elvevakt","f","jokivahði-","-",,,,,,,,,
"varis","subst","kråk|e","f","varikse-","-",,,,,,,,,
"hiilos","subst","glo","f","hiilokse-","-",,,,,,,,,
"liinavaatet","subst","lintøy","n","liinavaathe-","-",,,,,,,,,
"leväjänkkä","subst","hengemyr","f","leväjänkä-","-",,,,,,,,,
"korttipakka","subst","kortspill","n","korttipaka-","-",,,,,,,,,
"katajanpensas","subst","einebusk","m","katajapenshaa-","-",,,,,,,,,
"malli","subst","modell","m","-","-",,,,,,,,,
"tuuki","subst","duk","m","tuuki-","-",,,,,,,"pöytäliina",,
"Kruunu","subst","stat","m","-","-",,,,,,,"valtakunta",,
"suonenveto","subst","senestrekk","m","suonenveðo-","suonenvetto-",,,,,,,,,
"sormus","subst","ring","m","sormukse-","-","fingerring","m","giftering","m",,,,,
"soimi","subst","krybb|e","f","soime-","soime-",,,,,,,,,
"ratikaali","subst","radikal","m","-","-",,,,,,,,,
"mulkku","subst","pung","m","mulku-","-","testikkel","m",,,,,"muna",,
"ukkosilma","subst","tordenvær","n","-","-",,,,,,,,,
"plastikki","subst","plastikk","m","plastiki-","-","plast","m",,,,,,,
"heinähäkki","subst","høyhekk","m","heinähäki-","-",,,,,,,,,
"vinttikaivo","subst","vippebrønn","m","-","-",,,,,,,,,
"pallas","subst","kveit|e","f","palthaa-","-",,,,,,,,,
"pitunen","subst","lengde","m","pituse-","pitus-",,,,,,,,,
"köhä","subst","hoste","m","köhhä-",,,,,,,,,,
"kulkutauti","subst","rekesyk|e","f","kulkutauði-","kulkutautti-","epidemi","m","farsott","m",,,,,
"rasitus","subst","anstrengelse -n",,"rasitukse-","-","besvær","n",,,,,,,
"ruvanhalu","subst","matlyst","f","-","ruvanhallu-",,,,,,,,,
"maasto","subst","terreng","n","-","-",,,,,,,,,
"kaatumatauti","subst","epilepsi","m","kaatumatauði-","kaatumatautti-","fallesyke","m",,,,,,,
"harjus","subst","harr","m","harjukse-","-",,,,,,,"harri",,
"raatio","subst","radio","m","-","-",,,,,,,,,
"herrasmies","subst","storkar","m","herrasmiehe-","-",,,,,,,,,
"vaihetus","subst","bytte","n","vaihetukse-","-",,,,,,,,,
"päässiinen","subst","påsk|e","f","päässiise-","päässiis-",,,,,,,,,
"paavi","subst","pave","m","-","-",,,,,,,,,
"keskipäivä","subst","middag","m","-","-",,,,,,,,,
"nauðanliha","subst","storfekjøtt","n","-","nauðanlihha-",,,,,,,,,
"heitto","subst","kast","n","heito-","-",,,,,,,,,
"hantlangari","subst","handlanger","m","-","-","hjelpesmann","m",,,,,,,
"tavara","subst","vare","m","-","-",,,,,,,,,
"pelto","subst","åker","m","pello-","peltto-","eng","f",,,,,,,
"kiertotie","subst","ringvei","m","-","-",,,,,,,,,
"kuorsaus","subst","snorking","f","kuorsaukse-","-",,,,,,,,,
"loova","subst","boks","m","-","-","esk|e","f",,,,,,,
"piikki","subst","pigg","m","piiki-","-",,,,,,,,,
"nuppilakki","subst","topplu|e","f","nuppilaki-","-",,,,,,,"knuppilakki",,
"kärrö","subst","smålaks","m","-","-",,,,,,,,,
"frahti","subst","frakt","f","frahði-","-",,,,,,,,,
"piru","subst","djevel","m","-","pirru-","faen","m",,,,,,,
"heluntaikuostet","subst","pinseri","f","helluntaikuosthee-","-",,,,,,,,,
"viisymmi","subst","visum","n","-","-",,,,,,,,,
"hämmähäkki","subst","edderkopp","m","hämmähäki-","-",,,,,,,,,
"luomi","subst","øyelokk","n","luome-","luome-",,,,,,,,,
"kerta","subst","gang","m","kerra-","kertta-","etasje","m",,,,,,,
"pilkku","subst","flekk","m","pilku-","-","prikk","m",,,,,,,
"morssiin","subst","brud","m","morssiime-","-",,,,,,,,,
"karko","subst","steinstrand","f","-","karkko-",,,,,,,,,
"puu","subst","tre","n","-","-",,,,,,,,,
"rousko","subst","skar|e","f","-","-","skareføre","n",,,,,,,
"ristilapsi","subst","dåpsbarn","n","ristilapse-","ristilas-",,,,,,,,,
"peli","subst","spill","n","-","-",,,,,,,,,
"merkki","subst","merke","n","merki-","-",,,,,,,,,
"mäti","subst","rogn","f","mäði-","mätti-",,,,,,,,,
"tahko","subst","slipestein","m","taho-","-",,,,,,,,,
"vako","subst","plogfure","m","vao-","vakko-",,,,,,,,,
"rapajänkkä","subst","gjørmemyr","f","rapajänkä-","-",,,,,,,,,
"kettu","subst","rev","m","ketu-","-",,,,,,,,,
"messinki:messingi","subst","messing","m","messinkki-","-",,,,,,,,,
"talvikka","subst","vinterstøing","f","talvika-","-",,,,,,,,,
"kartano","subst","storgård","m","-","-",,,,,,,,,
"kehto","subst","vugge","f","kehðo-","-",,,,,,,,,
"ahma","subst","jerv","m","-","-",,,,,,,,,
"kulmakarva","subst","øyebryn","n","-","-",,,,,,,,,
"sivakka","subst","ski","m","sivaka-","-",,,,,,,,,
"kylttyyri","subst","kultur","m","-","-",,,,,,,,,
"lakso","subst","dal","m","-","-",,,,,,,,,
"saksalainen","subst","tysker",,"saksalaise-","saksalais-","tysk","a2",,,,,,,
"kangaspuut","subst","vevstol","m","kangaspuitte-","kangaspui-",,,,,,,,,
"merilintu","subst","sjøfugl","m","merilinnu-","merilinttu-",,,,,,,,,
"piimä","subst","surmelk","f","-","-","kefir","m",,,,,,,
"kitaari","subst","gitar","m","-","-",,,,,,,,,
"länki","subst","bogtre","n","länge-","länkke-",,,,,,,,,
"turska","subst","torsk","m","-","-",,,,,,,,,
"laiskuus","subst","latskap","m","laiskuuðe-","-",,,,,,,,,
"orava","subst","ekorn","n","-","-",,,,,,,,,
"ruokalysti","subst","matlyst","f","-","-",,,,,,,"ruokahalu",,
"pekuunia","subst","begonia","m","-","-",,,,,,,,,
"syntinen","subst","synder","m","syntise-","syntis-",,,,,,,,,
"yöpaita","subst","nattskjort|e","f","yöpaiða-","yöpaitta-",,,,,,,,,
"uusimaito","subst","råmelk","f","uuðenmaiðo-","uuttamaitt-",,,,,,,,,
"koiranpenikkä","subst","hundevalp","m","koiranpenikä-","-",,,,,,,,,
"mies","subst","mann","m","miehe-","-",,,,,,,,,
"tahto","subst","vilje","m","tahðo-","-",,,,,,,,,
"räämet","subst","var","m","räämhee-","-","slim","n","puss","m",,,,,
"joukko","subst","grupp|e","f","jouko-","-","flokk","m",,,,,,,
"sotku","subst","blanding","f","-","-",,,,,,,,,
"artikkeli","subst","artikkel","m","-","-",,,,,,,,,
"leipomauuni","subst","bakerovn","m","-","-",,,,,,,,,
"tikkapuu","subst","veistikke","m","-","-",,,,,,,,,
"pohjakerta","subst","underetasje","m","pohjakerra-","pohjakertta-",,,,,,,,,
"karhhuunpesä","subst","bjørnehi","n","-","karhhuunpessä-",,,,,,,,,
"virsi","subst","salme","m","virre-","virt-",,,,,,,,,
"fiili","subst","melkering|e","f","-","-","fil","m",,,,,,,
"rouko","subst","skinnfell","f","rouo-","roukko-",,,,,,,,,
"siraappi","subst","sirup","m","siraapi-","-",,,,,,,,,
"rekiuuni","subst","region","m","-","-",,,,,,,,,
"kapteini","subst","kaptein","m","-","-",,,,,,,,,
"oorninki","subst","ordning","f","oorningi-","-",,,,,,,,,
"laaðinki","subst","ladning","f","laaðingi-","laaðinkki-",,,,,,,,,
"multa","subst","mold","f","mulla-","mult-",,,,,,,,,
"ummikko","subst","enspråklig person",,"ummiko-","-",,,,,,,,,
"tuohertaminen","subst","fiske (laks) med lys",,"tuohertamise-","tuohertamis-",,,,,,,,,
"karamelli","subst","karamell","m","-","-",,,,,,,,,
"vanhuus","subst","alderdom –men",,"vanhuuðe-","vanhuut-","gamling","m",,,,,,,
"perjantai","subst","fredag","m","-","-",,,,,,,,,
"teksti","subst","tekst","m","-","-",,,,,,,,,
"pilli","subst","høystrå","n","-","-",,,,,,,,,
"sisäpuoli","subst","innsid|e","f","sisäpuole-","sisäpuol-",,,,,,,,,
"plaana","subst","plan","m","-","-",,,,,,,,,
"tekkiijä","subst","arbeider","m","-",,"den som gjør noe",,,,,,,,
"mukka","subst","bukt","f","muka-","-","kurve","m","sving","m",,,,,
"maito","subst","melk","f","maiðo-","maitto-",,,,,,,,,
"tausta","subst","bakgrunn","m","-","-",,,,,,,,,
"sarka","subst","vedteig","m","sara-","sarkka-",,,,,,,,,
"pelkka","subst","bjelk|e","f","pelka-","-",,,,,,,,,
"vasthaanotto","subst","mottak","n","-","-","resepsjon","m",,,,,,,
"miina","subst","min|e","f","-","-",,,,,,,,,
"pitsi","subst","blonde","m","-","-",,,,,,,,,
"kulli","subst","kuk","m","-","-",,,,,,,,,
"seurat","subst","læstadiansk forsamling","f","-","-",,,,,,,,,
"jäsen","subst","ledd","n","jäsene-","-","medlem","n",,,,,,,
"nälkä","subst","sult","m","nälä-","nälkkä-","hunger","m",,,,,,,
"pakana","subst","hedning","m","-","-",,,,,,,,,
"maalinki","subst","maling","f","maalingi-","maalinkki-",,,,,,,,,
"meriahven","subst","uer","m","meriahvene-","-",,,,,,,"ahvento",,
"matrassi","subst","madrass","m","-","-",,,,,,,"palja",,
"kamari","subst","kammers","n","-","-",,,,,,,,,
"yhtheistyö","subst","samarbeid","n","-","-",,,,,,,,,
"virta","subst","strøm –men",,"virra-","virt-",,,,,,,,,
"kokous","subst","forsamling","f","kokoukse-","-",,,,,,,"kokkous",,
"suorsa","subst","stokkand","f","-","-",,,,,,,,,
"iho","subst","hud","m","-","ihho-",,,,,,,,,
"ryöttyys","subst","skitt","m","ryöttyyðe-","ryöttyyt-","snusk","n",,,,,,,
"uimahousut","subst","badebuks|e -",,"-","-",,,,,,,,,
"näätä","subst","mår","m","nääðä-","näättä-",,,,,,,,,
"reenjalas","subst","sledemei","m","reenjalakse-","-",,,,,,,,,
"veisu","subst","salmesang","m","-","-",,,,,,,,,
"leiri","subst","leir","m","-","-",,,,,,,,,
"amerikkalainen","subst","amerikaner","m","amerikkalaise-","amerikkalais-",,,,,,,,,
"nunna","subst","nonn|e","f","-",,"gullunge -n",,,,,,,,
"voittaaja","subst","vinner","m","-","-","seierherre","m",,,,,,,
"purjetvenet","subst","seilbåt","m","purjetvenhee-",,,"-",,,,,"seilivenet",,
"telefuuni","subst","telefon","m","-","-",,,,,,,,,
"menetys","subst","tap","n","menetykse-","-",,,,,,,,,
"kalakeitto","subst","fiskekokning","f","kalakeito-","-",,,,,,,,,
"keskiyö","subst","midnatt","f","-","-",,,,,,,,,
"syltä","subst","favn","m","syllä-","sylttä-",,,,,,,,,
"katekismus","subst","katekismus","m","katekismukse-","-",,,,,,,,,
"lastentaras","subst","barnehage","m","lastentarhaa-","-",,,,,,,,,
"paholainen","subst","den onde",,"paholaise-","paholais-",,,,,,,,,
"paakari","subst","baker","m","-","-",,,,,,,,,
"sokkeritauti","subst","sukkersyke","m","sokkeritauði-","sokkeritautti-","diabetes","m",,,,,,,
"olkapää","subst","skulder","m","-","-",,,,,,,"olka",,
"kyytti","subst","skyss","m","kyyti-","-",,,,,,,,,
"kuuðain","subst","måneskinn","n","kuuðaime-","-",,,,,,,,,
"vellet","subst","kulp","m","velthee-","-",,,,,,,,,
"tesimeetteri","subst","desimeter","m","-","-",,,,,,,,,
"sika","subst","gris","m","sia-","sikka-",,,,,,,,,
"halu","subst","lyst","f","-","hallu-",,,,,,,,,
"pukin raakku","subst","bukkeskjell","n","-","-",,,,,,,"raakku",,
"kälmi","subst","skøyer","m","-","-",,,,,,,"skälmi",,
"talvi","subst","vinter","m","talve-","talve-",,,,,,,,,
"sola","subst","sål|e","f","-","solla-",,,,,,,,,
"apu","subst","hjelp","m","avu-","appu-",,,,,,,,,
"makkaratianen","subst","kjøttmeis","m","makkaratiase-","makkaratias-",,,,,,,"talitianen",,
"nuuska","subst","snus","m","-","-",,,,,,,,,
"paula","subst","telne -n",,"-","-","komagband","n",,,,,,,
"hihtomies","subst","skiløper","m","hihtomiehe-","-",,,,,,,,,
"poronhoito","subst","reindrift","f","poronhoiðo-","poronhoitto-",,,,,,,,,
"tryysi","subst","trus|e","f","-","-",,,,,,,,,
"sepperatuuri","subst","separator","m","-","-",,,,,,,,,
"navetta","subst","fjøs","n","naveta-","-",,,,,,,,,
"hyppytouvi","subst","hoppetau","n","-","-",,,,,,,,,
"haiju","subst","lukt","m","-","-","duft","f",,,,,,,
"pakkaaminen","subst","innpakning","f","pakkaamise-","pakkamis-",,,,,,,,,
"vitamiini","subst","vitamin","m","-","-",,,,,,,,,
"hengistys","subst","pust","m","hengistykse-","-","ånderdrett","n",,,,,,,
"rattastaminen","subst","ridning","f","rattastamise-","rattastamis-",,,,,,,,,
"rengas","subst","ring","m","renkhaa-","-",,,,,,,,,
"raami","subst","ramm|e","f","-","-",,,,,,,,,
"hyppy","subst","hopp","n","hypy-","-",,,,,,,,,
"umpusuoli","subst","blindtarm","m","umpusuole-","umpusolme-",,,,,,,,,
"testamentti","subst","testament","n","testamenti-","-",,,,,,,,,
"lohenpyytö","subst","laksefiske","n","lohenpyyðö-","lohenpyyttö-",,,,,,,,,
"muuri","subst","mur","m","-","-",,,,,,,,,
"hevosmies","subst","hestekar","m","hevosmiehe-","-",,,,,,,,,
"kuormakka","subst","sandskrubb","m","kuormaka-","-",,,,,,,,,
"mallas","subst","malt","m","malthaa-","-",,,,,,,,,
"rietas","subst","djevel","m","riethaa-","-",,,,,,,,,
"jouluaamu","subst","julemorgen","m","-","-",,,,,,,,,
"roukopää","subst","dumskalle","m","-","-",,,,,,,,,
"tanskalainen","subst","danske","m","tanskalaise-","tanskalais-",,,,,,,,,
"nilkka","subst","vrist","m","nilka-","-",,,,,,,,,
"häkki","subst","bur","n","häki-","-",,,,,,,,,
"lippeekala","subst","lutefisk","m","-","lippeekalla-",,,,,,,,,
"laiskuri","subst","lathans","m","-","-",,,,,,,,,
"lehti","subst","blad","n","lehðe-","lehte-",,,,,,,,,
"viitonen","subst","femmer","m","viitose-","viitos-",,,,,,,,,
"emäntä","subst","husmor","f","emännä-","emänttä-",,,,,,,,,
"valo","subst","lys","n","-","vallo-","skinn","n",,,,,,,
"meetterinmitta","subst","metermål","n","meetterinmita-","-",,,,,,,,,
"katu","subst","gat|e","f","kaðu-","kattu-",,,,,,,,,
"kojama","subst","hannlaks","m","-","-",,,,,,,,,
"karhhuunpenikkä","subst","bjørneunge","m","karhhuunpenikä-","-",,,,,,,,,
"syvvyys","subst","dyp","n","syvvyyðe-","syvvyyt-","dybd|e","f",,,,,,,
"tolppa","subst","stolpe","m","tolpa-","-",,,,,,,"seiväs",,
"appelsiiini","subst","appelsin","m","-","-",,,,,,,,,
"roukopää","subst","tulling","m","-","-",,,,,,,,,
"tukki","subst","tømmerstokk","m","tuki-","-","stokk","m",,,,,,,
"järvivenet","subst","båt brukt på et tjern",,"järvivenhee-","-",,,,,,,,,
"saðet","subst","regn","n","sathee-","-",,,,,,,,,
"kyylälaakeri","subst","kulelager","m","-","-",,,,,,,,,
"hamina","subst","havn","f","-","-",,,,,,,,,
"kuulo","subst","hørsel","m","-","-",,,,,,,,,
"tuska","subst","plage","m","-","-",,,,,,,,,
"estet","subst","hindring","f","esthee-","-",,,,,,,,,
"hyhmä","subst","issørp|e","f","-",,"-",,,,,,,,
"kroppi","subst","kropp","m","kropi-","-",,,,,,,"ruumis",,
"terva","subst","tjær|e","f","-","-",,,,,,,,,
"pöllö","subst","tulling","m","-","-","dumrian","m",,,,,,,
"joukhanen","subst","svan|e","f","joukhase-","joukhas-",,,,,,,,,
"lehmän raakku","subst","kuskjell","n","-","-",,,,,,,"raakku",,
"ankkuri","subst","anker","n","-","-",,,,,,,"träki",,
"piena","subst","kloss","m","-","pienna-",,,,,,,,,
"alttari","subst","alter","n","-","-",,,,,,,,,
"koto","subst","hjem","n","kotto-",,,,,,,,,,
"horrosuni","subst","lett søvn",,"horrosune--","horrosun--",,,,,,,,,
"perunalainen","subst","bergenser","m","perunalaise-","perunalais-",,,,,,,,,
"paraati","subst","parade","m","paraati-","paraatti-",,,,,,,,,
"hietaluokka","subst","sandbakke","m","hietaluoka-","-",,,,,,,,,
"symptuumi","subst","symptom","n","-","-",,,,,,,,,
"kananpoika","subst","kylling","m","kananpoja-","kananpoikka-",,,,,,,,,
"kirsi","subst","tel|e","f","kirre-","kirt-",,,,,,,,,
"kynteri","subst","kunde","m","-","-",,,,,,,,,
"urppinen","subst","gråsisik","m","urppise-","urppis-",,,,,,,,,
"fysikki","subst","fysikk","m","fysiki-","-",,,,,,,,,
"tulo","subst","ankomst","m","-","tullo-",,,,,,,,,
"kämppä","subst","koi|e","f","kämpä-","-","stu|e","f",,,,,,,
"lysti","subst","lyst","f","-","-",,,,,,,,,
"kaupunki","subst","by","m","kaupungi-","kaupunkki-",,,,,,,,,
"kynsi","subst","negl","m","kynne-","kynt-",,,,,,,,,
"kaakkahoppu","subst","må på do",,"kaakkahopu-","-",,,,,,,,,
"septemperi","subst","september",,"-","-",,,,,,,"septemperikuu",,
"taikko","subst","gjødselgreip","m","taiko-","-",,,,,,,,,
"klinkkuveitti","subst","lommekniv","m","klinkkuveitte-","klinkkuveitte-",,,,,,,,,
"pulitiikka","subst","politikk","m","pulitiika-","-",,,,,,,"politiikka",,
"muori","subst","mor","f","-","-",,,,,,,,,
"aapinen","subst","ABC-bok","f","aapise-","aapis-",,,,,,,,,
"poteetti","subst","potet","m","poteeti-","-",,,,,,,"pottu","putaatti","puteetti"
"merkitys","subst","betydning","f","merkitykse-","-",,,,,,,,,
"pluuka","subst","plog","m","pluuka-","pluukka-",,,,,,,,,
"keli","subst","føre","n","kelli-",,,,,,,,,,
