"Lemma","POS","trans","tPOS","1stamme","2stamme","syntrans","syntransPOS","syntrans2","syntrans2POS","syntrans3","syntrans3POS","syneks","syneks2","syneks3"
"yhtheinen","adj","felles",,"yhtheise-","yhtheis-",,,,,,,,,
"kiimanen","adj","brunstig",,"kiimase-","kiimas-",,,,,,,,,
"maksamaton","adj","ubetalt",,"maksamattoma-","-",,,,,,,,,
"merikippee","adj","sjøsyk",,"-","-",,,,,,,,,
"saamaton","adj","uforetaksom",,"saamatoma-","-",,,,,,,,,
"kaitanen","adj","smal","a1","kaitase-","kaitas-",,,,,,,,,
"ylivoimanen","adj","overmektig",,"ylivoimase-","ylivoimas-",,,,,,,,,
"kukkanen","adj","blomstret –e",,"kukkase-","kukkas-",,,,,,,,,
"opas","adj","kjent",,"ophaa-","-",,,,,,,,,
"viinto","adj","skeiv","a1","viinno-","viinto-","skrå –tt",,,,,,,,
"rehelinen","adj","oppriktig",,"rehelise-","rehelis-","redelig",,"ærlig",,,,,,
"häijy","adj","forferdelig",,"-","-","fryktelig",,,,,,,,
"neljenjalkainen","adj","firfotet",,"neljenjalkaise-","neljenjalkais-","firbeint",,,,,,,,
"likhiin","adj","nærmest",,"likhime-","-",,,,,,,,,
"kypsy","adj","moden","a1","-","-",,,,,,,,,
"ruumhiilinen","adj","kroppslig",,"ruumhiilise-","ruumhiilis-",,,,,,,,,
"näkymätön","adj","usynlig",,"näkymättömä-","-",,,,,,,,,
"kalsu","adj","sløv øks",,"-","-",,,,,,,,,
"mäðänny","adj","råtten","a1","mäðähnee-","-",,,,,,,,,
"kristitty","adj","kristen","a1","kristity-","-",,,,,,,,,
"siila","adj","slap|p","a1","-","-",,,,,,,"Se oli siila kala",,
"lyhyt","adj","kort",,"?-","?-",,,,,,,,,
"oppinu","adj","lærd –e",,"oppinhee-","-",,,,,,,,,
"mitätön","adj","ubetydelig",,"mitättömä-","-",,,,,,,,,
"lapsikas","adj","barnerik",,"lapsikhaa-","-",,,,,,,,,
"kolmas","adj","tredje",,"kolmanne-","-",,,,,,,,,
"ensimäinen","adj","den første",,"ensimäise-","ensimäis-",,,,,,,,,
"samanfärinen","adj","sammefarget",,"samanfärise-","samanfäris-",,,,,,,,,
"loputon","adj","endeløs","a1","loputtoma-","-",,,,,,,,,
"porvarinen","adj","borgelig",,"porvarise-","porvaris-",,,,,,,,,
"ohukainen","adj","tyn|n","a1","ohukaise-","ohukais-",,,,,,,,,
"nykynen","adj","nåværende",,"nykyse-","nykys-",,,,,,,,,
"happela","adj","hurtig",,"-","-","kjapp",,"kvikk",,,,"rask",,
"pirulinen","adj","djevelsk",,"pirulise-","pirulis-","trollet",,,,,,,,
"tasanen","adj","jevn","a1","tasase-","tasas-","slett",,,,,,,,
"tihhee","adj","tett",,"-","-",,,,,,,,,
"korkkee","adj","høy","a1","-","-",,,,,,,,,
"muutamanlainen","adj","enslags",,"muutamanlaise-","muutamanlais-",,,,,,,,,
"oma","adj","ege|n","a1","-","-",,,,,,,,,
"jouttaava","adj","unødvendig",,"-","-",,,,,,,,,
"luottavainen","adj","tillitsfull","a1","luottavaise-","luottavais-",,,,,,,,,
"hieno","adj","fin","a1","-","-",,,,,,,,,
"tunnettu","adj","kjent",,"tunnetu-","-",,,,,,,,,
"sokkee","adj","blind","a1","-","-",,,,,,,,,
"karu","adj","karrig",,"-","-",,,,,,,,,
"alaikänen","adj","mindreårig",,"alaikäse-","alaikäs-",,,,,,,,,
"liehmuu","adj","fint sommervær",,"-","-",,,,,,,,,
"merkittävä","adj","bemerkelsesverdig",,"-","-",,,,,,,,,
"lyhyt","adj","kort",,"?-","?-",,,,,,,,,
"pimmeenarka","adj","mørkeredd",,"pimmeenara-","pimmeenarkka-",,,,,,,,,
"mahðolinen","adj","mulig",,"mahðolise-","mahðolis-",,,,,,,,,
"näkönen","adj","lyst",,"näköse-","näkös-",,,,,,,,,
"lievä","adj","bøyelig",,"-","-","mild –t",,"svak","a1",,,,,
"nokinen","adj","sotete",,"nokise-","nokis-",,,,,,,,,
"ehtoolinen","adj","nattverd","m","ehtoolise-","ehtoolis-",,,,,,,"rippi",,
"visu","adj","gjerrig",,"vissu-",,,,,,,,,,
"kirmee","adj","sur",,"-","-",,,,,,,,,
"reipas","adj","kjek|k","a1","reiphaa-","-",,,,,,,,,
"taaja","adj","tett",,"-","-",,,,,,,,,
"kippee","adj","syk",,"-","-",,,,,,,,,
"tyhvä","adj","tom","a1","-","-",,,,,,,"tyhjä",,
"varma","adj","sikker",,"-","-",,,,,,,,,
